Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
1,5.15e-05,3.1,3.82355816226784,-0.723558162267841,-0.723558162267841,0.723558162267841,0,0.4,0.402,0.81
2,0.3976247,3.1,3.83186705767351,-0.731867057673509,-1.45542521994135,0.00830889540566826,0.871097556207235,0.4,0.402,0.81
3,0.7513814,3.1,3.3030303030303,-0.203030303030303,-1.65845552297165,-0.528836754643206,1.17626901270772,0.4,0.402,0.81
4,1.111923,3.1,3.18035190615836,-0.080351906158358,-1.73880742913001,-0.122678396871945,0.830510850439882,0.4,0.402,0.81
5,1.4440119,3.1,3.34310850439883,-0.243108504398827,-1.98191593352884,0.162756598240469,0.762140762463343,0.4,0.402,0.81
6,2.0331469,3.1,3.35386119257087,-0.253861192570871,-2.23577712609971,0.0107526881720443,0.991617204301075,0.4,0.402,0.81
7,2.4040836,3.1,3.2741935483871,-0.174193548387097,-2.40997067448681,-0.0796676441837736,1.10301642228739,0.4,0.402,0.81
8,2.818284,3.1,3.23998044965787,-0.139980449657869,-2.54995112414467,-0.0342130987292282,1.10878514173998,0.4,0.402,0.81
9,3.1938521,3.1,3.1891495601173,-0.0891495601173018,-2.63910068426198,-0.0508308895405674,1.13775131964809,0.4,0.402,0.81
10,3.5802848,3.1,3.21652003910068,-0.116520039100684,-2.75562072336266,0.0273704789833826,1.13219745845552,0.4,0.402,0.81
11,4.1835861,3.1,3.22873900293255,-0.128739002932552,-2.88435972629521,0.0122189638318675,1.20111085043988,0.4,0.402,0.81
12,4.5637797,3.1,3.15542521994135,-0.0554252199413492,-2.93978494623656,-0.0733137829912027,1.26334780058651,0.4,0.402,0.81
13,4.9464518,3.1,3.1485826001955,-0.0485826001955036,-2.98836754643207,-0.00684261974584555,1.22629931573803,0.4,0.402,0.81
14,5.3422113,3.1,3.21114369501466,-0.111143695014663,-3.09951124144673,0.0625610948191593,1.23978651026393,0.4,0.402,0.81
15,5.7704428,3.1,3.11730205278592,-0.017302052785924,-3.11681329423265,-0.0938416422287389,1.33589149560117,0.4,0.402,0.81
16,6.4027761,3.1,3.10850439882698,-0.00850439882697973,-3.12531769305963,-0.00879765395894427,1.26690557184751,0.4,0.402,0.81
17,6.7907873,3.1,3.13147605083089,-0.0314760508308893,-3.15679374389052,0.0229716520039096,1.26301446725318,0.4,0.402,0.81
18,7.1616731,3.1,3.19990224828935,-0.0999022482893457,-3.25669599217987,0.0684261974584564,1.2937274682307,0.4,0.402,0.81
19,7.5337316,3.1,3.14222873900293,-0.0422287390029328,-3.2989247311828,-0.0576735092864129,1.38977478005865,0.4,0.402,0.81
20,7.9413979,3.1,3.15200391006843,-0.0520039100684269,-3.35092864125123,0.00977517106549408,1.35995698924731,0.4,0.402,0.81
21,8.5691316,3.1,3.15004887585533,-0.0500488758553272,-3.40097751710655,-0.00195503421309962,1.38879608993158,0.4,0.402,0.81
22,8.9179795,3.1,3.18621700879765,-0.0862170087976541,-3.48719452590421,0.0361681329423269,1.40704281524927,0.4,0.402,0.81
23,9.2855851,3.1,3.10019550342131,-0.000195503421310139,-3.48739002932552,-0.086021505376344,1.47168641251222,0.4,0.402,0.81
24,9.7142164,3.1,3.00830889540567,0.0916911045943301,-3.39569892473119,-0.0918866080156402,1.40282267839687,0.4,0.402,0.81
25,10.1117339,3.1,3.13343108504399,-0.0334310850439885,-3.42913000977518,0.125122189638319,1.29053372434018,0.4,0.402,0.81
26,10.8279771,3.1,3.14027370478983,-0.0402737047898341,-3.46940371456501,0.00684261974584555,1.40526725317693,0.4,0.402,0.81
27,11.1825015,3.1,3.17644183773216,-0.076441837732161,-3.54584555229717,0.0361681329423269,1.42671045943304,0.4,0.402,0.81
28,11.5112747,3.1,3.07820136852395,0.0217986314760505,-3.52404692082112,-0.0982404692082115,1.48752218963832,0.4,0.402,0.81
29,11.9259656,3.1,3.08797653958944,0.0120234604105569,-3.51202346041056,0.00977517106549364,1.39910615835777,0.4,0.402,0.81
30,12.3007594,3.1,3.13000977517107,-0.0300097751710657,-3.54203323558163,0.0420332355816226,1.40185434995113,0.4,0.402,0.81
31,12.8762681,3.1,3.158357771261,-0.0583577712609973,-3.60039100684263,0.0283479960899315,1.44773841642229,0.4,0.402,0.81
32,13.2661754,3.1,3.1177908113392,-0.0177908113391991,-3.61818181818183,-0.0405669599217982,1.49448465298143,0.4,0.402,0.81
33,13.6168672,3.1,3.06793743890518,0.0320625610948189,-3.58611925708701,-0.049853372434018,1.4691761485826,0.4,0.402,0.81
34,13.9993163,3.1,3.14809384164223,-0.0480938416422294,-3.63421309872924,0.0801564027370483,1.41526451612904,0.4,0.402,0.81
35,14.3492295,3.1,3.09286412512219,0.00713587487780964,-3.62707722385143,-0.0552297165200391,1.49996676441838,0.4,0.402,0.81
36,14.9489401,3.1,3.10068426197458,-0.000684261974584821,-3.62776148582601,0.00782013685239447,1.45229951124145,0.4,0.402,0.81
37,15.3005389,3.1,3.0713587487781,0.0286412512218961,-3.59912023460412,-0.0293255131964809,1.45914349951125,0.4,0.402,0.81
38,15.6923351,3.1,3.14467253176931,-0.0446725317693062,-3.64379276637342,0.0733137829912023,1.42328954056696,0.4,0.402,0.81
39,16.0957282,3.1,3.09628543499511,0.00371456500488732,-3.64007820136853,-0.0483870967741935,1.50101915933529,0.4,0.402,0.81
40,16.4575031,3.1,3.0733137829912,0.0266862170087974,-3.61339198435974,-0.02297165200391,1.46051612903226,0.4,0.402,0.81
41,17.071241,3.1,3.13343108504399,-0.0334310850439881,-3.64682306940373,0.0601173020527854,1.43070029325514,0.4,0.402,0.81
42,17.448136,3.1,3.13538611925709,-0.0353861192570868,-3.68220918866081,0.00195503421309873,1.49281896383187,0.4,0.402,0.81
43,17.7925305,3.1,3.04692082111437,0.0530791788856302,-3.62913000977518,-0.088465298142717,1.50933548387097,0.4,0.402,0.81
44,18.1566123,3.1,3.08651026392962,0.0134897360703805,-3.6156402737048,0.0395894428152497,1.41602404692083,0.4,0.402,0.81
45,18.4579839,3.1,3.15786901270772,-0.0578690127077226,-3.67350928641252,0.0713587487781031,1.44209775171066,0.4,0.402,0.81
46,18.9596747,3.1,3.10263929618768,-0.00263929618768355,-3.67614858260021,-0.0552297165200391,1.52360351906159,0.4,0.402,0.81
47,19.2942282,3.1,3.02150537634409,0.0784946236559136,-3.59765395894429,-0.0811339198435972,1.48057751710655,0.4,0.402,0.81
48,19.6270068,3.1,3.07869012707722,0.0213098729227754,-3.57634408602152,0.0571847507331382,1.3828467253177,0.4,0.402,0.81
49,19.9524693,3.1,3.12267839687195,-0.0226783968719455,-3.59902248289346,0.0439882697947209,1.42024789833823,0.4,0.402,0.81
50,20.300517,3.1,3.13880742913001,-0.03880742913001,-3.63782991202347,0.0161290322580645,1.46486608015641,0.4,0.402,0.81
51,20.84807,3.1,3.12756598240469,-0.0275659824046923,-3.66539589442817,-0.0112414467253177,1.49362111436951,0.4,0.402,0.81
52,21.231346,3.1,3.05278592375367,0.047214076246334,-3.61818181818183,-0.0747800586510263,1.49619530791789,0.4,0.402,0.81
53,21.582998,3.1,3.0713587487781,0.0286412512218961,-3.58954056695994,0.0185728250244379,1.41649481915934,0.4,0.402,0.81
54,21.9652136,3.1,3.11094819159335,-0.0109481915933531,-3.60048875855329,0.0395894428152492,1.41970830889541,0.4,0.402,0.81
55,22.3283958,3.1,3.11045943304008,-0.0104594330400785,-3.61094819159337,-0.000488758553274682,1.45618084066472,0.4,0.402,0.81
56,22.8549008,3.1,3.0366568914956,0.0633431085043989,-3.54760508308897,-0.0738025415444774,1.46058005865103,0.4,0.402,0.81
