Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
1,5.58e-05,3.05,3.83479960899316,-0.784799608993157,-0.784799608993157,0.784799608993157,0,0.4,0.398,0.81
2,0.3600001,3.05,3.83773216031281,-0.787732160312805,-1.57253176930596,0.00293255131964809,0.93858514173998,0.4,0.398,0.81
3,0.7076541,3.05,3.33431085043988,-0.284310850439882,-1.85684261974584,-0.503421309872923,1.26051896383187,0.4,0.398,0.81
4,1.0232233,3.05,3.18963831867058,-0.139638318670576,-1.99648093841642,-0.144672531769306,0.967639491691104,0.4,0.398,0.81
5,1.3803135,3.05,3.31036168132942,-0.260361681329423,-2.25684261974584,0.120723362658847,0.904582111436949,0.4,0.398,0.81
6,1.9477927,3.05,3.34115347018573,-0.291153470185728,-2.54799608993157,0.030791788856305,1.10562248289345,0.4,0.398,0.81
7,2.360381,3.05,3.21700879765396,-0.167008797653959,-2.71500488758553,-0.124144672531769,1.24793264907136,0.4,0.398,0.81
8,2.717468,3.05,3.17350928641251,-0.123509286412512,-2.83851417399804,-0.0434995112414471,1.2143669599218,0.4,0.398,0.81
9,3.039777,3.05,3.23411534701857,-0.184115347018572,-3.02262952101662,0.0606060606060601,1.22756177908113,0.4,0.398,0.81
10,3.3804844,3.05,3.20136852394917,-0.151368523949169,-3.17399804496578,-0.0327468230694037,1.35032355816227,0.4,0.398,0.81
11,3.9715471,3.05,3.18132942326491,-0.131329423264907,-3.30532746823069,-0.0200391006842615,1.38428377321603,0.4,0.398,0.81
12,4.3285012,3.05,3.15982404692082,-0.109824046920821,-3.41515151515151,-0.021505376344086,1.42057927663734,0.4,0.398,0.81
13,4.6889572,3.05,3.16373411534702,-0.113734115347019,-3.52888563049853,0.00391006842619745,1.446822971652,0.4,0.398,0.81
14,5.0523245,3.05,3.14565004887586,-0.0956500488758554,-3.62453567937439,-0.0180840664711632,1.49547331378299,0.4,0.398,0.81
15,5.4024185,3.05,3.13098729227762,-0.0809872922776154,-3.705522971652,-0.01466275659824,1.51906989247312,0.4,0.398,0.81
16,5.9757793,3.05,3.08699902248289,-0.0369990224828936,-3.7425219941349,-0.0439882697947218,1.53995386119257,0.4,0.398,0.81
17,6.3364014,3.05,3.08260019550342,-0.0326001955034219,-3.77512218963832,-0.00439882697947169,1.51910175953079,0.4,0.398,0.81
18,6.6935866,3.05,3.10117302052786,-0.0511730205278589,-3.82629521016618,0.018572825024437,1.52829071358749,0.4,0.398,0.81
19,7.0497439,3.05,3.13880742913001,-0.0888074291300098,-3.91510263929619,0.0376344086021509,1.56324995112414,0.4,0.398,0.81
20,7.4153301,3.05,3.12463343108504,-0.0746334310850436,-3.98973607038123,-0.0141739980449662,1.62924926686217,0.4,0.398,0.81
21,8.0015554,3.05,3.08944281524927,-0.0394428152492674,-4.0291788856305,-0.0351906158357762,1.64789472140762,0.4,0.398,0.81
22,8.3995153,3.05,3.08015640273705,-0.030156402737048,-4.05933528836755,-0.0092864125122194,1.6352,0.4,0.398,0.81
23,8.7855761,3.05,3.03421309872923,0.0157869012707721,-4.04354838709677,-0.0459433040078201,1.64023157380254,0.4,0.398,0.81
24,9.141535,3.05,3.09824046920821,-0.0482404692082117,-4.09178885630499,0.0640273704789838,1.59596598240469,0.4,0.398,0.81
25,9.5008843,3.05,3.12121212121212,-0.0712121212121213,-4.16300097751711,0.0229716520039096,1.66675219941349,0.4,0.398,0.81
