Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
1,3.27e-05,3.1,3.81133919843597,-0.711339198435973,-0.711339198435973,0.711339198435973,-0,0,0,0
2,0.3748517,3.1,3.80791788856305,-0.70791788856305,-1.41925708699902,-0.00342130987292322,0,0,0,0
3,0.7384096,3.1,3.80742913000978,-0.707429130009776,-2.1266862170088,-0.000488758553274238,0,0,0,0
4,1.0685215,3.1,3.80742913000978,-0.707429130009776,-2.83411534701857,0,-0,0,0,0
5,1.4186042,3.1,3.80742913000978,-0.707429130009776,-3.54154447702835,0,-0,0,0,0
6,2.0895562,3.1,3.80742913000978,-0.707429130009776,-4.24897360703813,0,-0,0,0,0
7,2.4489236,3.1,3.80742913000978,-0.707429130009776,-4.9564027370479,0,-0,0,0,0
8,2.7946952,3.1,3.80742913000978,-0.707429130009776,-5.66383186705768,0,-0,0,0,0
9,3.1730202,3.1,3.80742913000978,-0.707429130009776,-6.37126099706745,0,-0,0,0,0
10,3.5047011,3.1,3.80742913000978,-0.707429130009776,-7.07869012707723,0,-0,0,0,0
11,4.0115413,3.1,3.80742913000978,-0.707429130009776,-7.786119257087,0,-0,0,0,0
12,4.3288726,3.1,3.80742913000978,-0.707429130009776,-8.49354838709678,0,-0,0,0,0
13,4.6612334,3.1,3.80742913000978,-0.707429130009776,-9.20097751710655,0,-0,0,0,0
14,4.9976788,3.1,3.8069403714565,-0.706940371456501,-9.90791788856306,-0.000488758553274682,0,0,0,0
15,5.3460594,3.1,3.80742913000978,-0.707429130009776,-10.6153470185728,0.000488758553274682,-0,0,0,0
16,5.9911192,3.1,3.81818181818182,-0.718181818181818,-11.3335288367546,0.0107526881720426,-0,0,0,0
17,6.3646123,3.1,3.82258064516129,-0.72258064516129,-12.0561094819159,0.00439882697947169,-0,0,0,0
18,6.7166895,3.1,3.82600195503421,-0.726001955034214,-12.7821114369502,0.00342130987292411,-0,0,0,0
19,7.153654,3.1,3.82551319648094,-0.725513196480939,-13.5076246334311,-0.000488758553275126,0,0,0,0
20,7.5837518,3.1,3.82209188660801,-0.722091886608015,-14.2297165200391,-0.00342130987292366,0,0,0,0
21,8.2780478,3.1,3.81818181818182,-0.718181818181819,-14.9478983382209,-0.00391006842619612,0,0,0,0
22,8.6792658,3.1,3.82111436950147,-0.721114369501466,-15.6690127077224,0.00293255131964676,-0,0,0,0
23,9.1243727,3.1,3.82258064516129,-0.72258064516129,-16.3915933528837,0.00146627565982405,-0,0,0,0
24,9.5952531,3.1,3.82209188660801,-0.722091886608015,-17.1136852394917,-0.000488758553274682,0,0,0,0
25,9.9432475,3.1,3.82306940371456,-0.723069403714565,-17.8367546432063,0.000977517106549808,-0,0,0,0
26,10.5343216,3.1,3.82209188660801,-0.722091886608015,-18.5588465298143,-0.000977517106549808,0,0,0,0
27,10.920007,3.1,3.82209188660801,-0.722091886608015,-19.2809384164223,0,-0,0,0,0
28,11.2792156,3.1,3.82209188660801,-0.722091886608015,-20.0030303030303,0,-0,0,0,0
29,11.6561718,3.1,3.82209188660801,-0.722091886608015,-20.7251221896383,0,-0,0,0,0
30,12.0193985,3.1,3.82160312805474,-0.721603128054741,-21.4467253176931,-0.000488758553274238,0,0,0,0
31,12.6096205,3.1,3.82160312805474,-0.721603128054741,-22.1683284457478,0,-0,0,0,0
32,12.9664899,3.1,3.82160312805474,-0.721603128054741,-22.8899315738026,0,-0,0,0,0
33,13.3483812,3.1,3.82209188660801,-0.722091886608015,-23.6120234604106,0.000488758553274238,-0,0,0,0
34,13.7202597,3.1,3.82209188660801,-0.722091886608015,-24.3341153470186,0,-0,0,0,0
35,14.0613643,3.1,3.82160312805474,-0.721603128054741,-25.0557184750733,-0.000488758553274238,0,0,0,0
36,14.6956522,3.1,3.81818181818182,-0.718181818181818,-25.7739002932551,-0.00342130987292277,0,0,0,0
37,15.0566984,3.1,3.81964809384164,-0.719648093841642,-26.4935483870968,0.00146627565982405,-0,0,0,0
38,15.4326847,3.1,3.82111436950147,-0.721114369501466,-27.2146627565983,0.0014662756598236,-0,0,0,0
39,15.8665521,3.1,3.81915933528837,-0.719159335288368,-27.9338220918866,-0.00195503421309784,0,0,0,0
40,16.2932457,3.1,3.81964809384164,-0.719648093841642,-28.6534701857283,0.000488758553273794,-0,0,0,0
41,16.9124935,3.1,3.81964809384164,-0.719648093841642,-29.3731182795699,4.44089209850063e-16,-0,0,0,0
42,17.2677763,3.1,3.82209188660801,-0.722091886608015,-30.0952101661779,0.00244379276637297,-0,0,0,0
43,17.6543276,3.1,3.82209188660801,-0.722091886608015,-30.8173020527859,0,-0,0,0,0
44,18.0440304,3.1,3.82209188660801,-0.722091886608015,-31.5393939393939,0,-0,0,0,0
45,18.4113698,3.1,3.82209188660801,-0.722091886608015,-32.261485826002,0,-0,0,0,0
46,19.011432,3.1,3.82209188660801,-0.722091886608015,-32.98357771261,0,-0,0,0,0
47,19.3594776,3.1,3.82062561094819,-0.720625610948192,-33.7042033235582,-0.0014662756598236,0,0,0,0
48,19.7472839,3.1,3.82062561094819,-0.720625610948193,-34.4248289345064,8.88178419700125e-16,-0,0,0,0
49,20.1330463,3.1,3.82013685239492,-0.720136852394917,-35.1449657869013,-0.000488758553275126,0,0,0,0
50,20.5267641,3.1,3.81915933528837,-0.719159335288368,-35.8641251221896,-0.000977517106549808,0,0,0,0
51,21.0607448,3.1,3.82160312805474,-0.721603128054741,-36.5857282502444,0.00244379276637341,-0,0,0,0
