Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
27,8.2891829,3.15,3.28739002932551,-0.137390029325513,-2.20654993020039,-0.021477808288722,0.922600287109585,0.4,0.401,0.8
28,8.573689,3.15,3.30205278592375,-0.152052785923753,-2.2498098753177,-0.00646064988683679,0.957826354462428,0.4,0.401,0.8
29,8.8938299,3.15,3.25171065493646,-0.101710654936461,-2.28237161592864,-0.0360431973536446,0.927080722079055,0.4,0.401,0.8
30,9.1708483,3.15,3.30645161290323,-0.156451612903226,-2.32571159141251,0.00619839794617994,1.00014971167465,0.4,0.401,0.8
31,9.6520032,3.15,3.27077223851417,-0.120772238514174,-2.38382174575758,-0.0119758078999487,0.994640769134499,0.4,0.401,0.8
32,9.9520179,3.15,3.28543499511241,-0.135434995112414,-2.42445423518573,-0.00559047140812506,1.02190776922794,0.4,0.401,0.8
33,10.2073049,3.15,3.272238514174,-0.122238514173998,-2.45566013875367,-0.01559450763093,1.02113951520508,0.4,0.401,0.8
34,10.497564,3.15,3.23460410557185,-0.0846041055718474,-2.48021725029326,-0.0369040687306334,0.998885504611828,0.4,0.401,0.8
35,10.7837523,3.15,3.23118279569892,-0.0811827956989251,-2.50345081658358,-0.0323341499126891,1.01048957579943,0.4,0.401,0.8
36,11.1824114,3.15,3.27321603128055,-0.123216031280548,-2.55257200871945,0.00251774711767126,1.07488198570286,0.4,0.401,0.8
37,11.4928443,3.15,3.19354838709677,-0.0435483870967741,-2.56609086081623,-0.0487401644503152,1.00742965846576,0.4,0.401,0.8
38,11.7547716,3.15,3.24242424242424,-0.0924242424242423,-2.59029929308896,-0.00889280885168054,1.06856546641702,0.4,0.401,0.8
39,12.006245,3.15,3.2683284457478,-0.1183284457478,-2.62005574965787,0.0131919524496913,1.10852729587168,0.4,0.401,0.8
40,12.296018,3.15,3.26490713587488,-0.114907135874877,-2.65335273514174,0.00679731422025089,1.11539515251799,0.4,0.401,0.8
41,12.7070305,3.15,3.16520039100684,-0.0152003910068426,-2.65960028585044,-0.0446838148882839,1.03683281911814,0.4,0.401,0.8
42,13.0461226,3.15,3.24975562072336,-0.0997556207233621,-2.69342662876833,0.00654264953352503,1.12520044605226,0.4,0.401,0.8
43,13.3173309,3.15,3.16177908113392,-0.0117790811339193,-2.69662121333822,-0.058333241652187,1.03939014568045,0.4,0.401,0.8
44,13.5958381,3.15,3.2624633431085,-0.112463343108504,-2.72794306413001,0.0268592156803617,1.16037787850383,0.4,0.401,0.8
45,13.8450365,3.15,3.21749755620723,-0.0674975562072326,-2.74476334714076,-0.0120737910740473,1.1179900918271,0.4,0.401,0.8
46,14.2287775,3.15,3.20185728250244,-0.0518572825024437,-2.76466311258553,-0.0144239741779681,1.1178336418054,0.4,0.401,0.8
47,14.4759672,3.15,3.227761485826,-0.0777614858260023,-2.78388495093842,0.00304537140782773,1.14987875678297,0.4,0.401,0.8
48,14.7791671,3.15,3.20039100684262,-0.0503910068426197,-2.799163499174,-0.0160681723210481,1.12976642804898,0.4,0.401,0.8
49,15.0690839,3.15,3.25171065493646,-0.101710654936461,-2.82865112677908,0.0219595243394947,1.19254098328459,0.4,0.401,0.8
50,15.3582877,3.15,3.15542521994135,-0.00542521994134892,-2.83022012100196,-0.0489756323333235,1.09790785063167,0.4,0.401,0.8
51,15.7480957,3.15,3.22140762463343,-0.071407624633431,-2.85805538434506,0.00478525262656705,1.178471461077,0.4,0.401,0.8
52,15.9439919,3.15,3.227761485826,-0.0777614858260023,-2.87328856392473,0.0141045923463517,1.1945769823413,0.4,0.401,0.8
53,16.1297144,3.15,3.1485826001955,0.00141739980449618,-2.87302532088954,-0.0733640150845473,1.09282498168727,0.4,0.401,0.8
54,16.3286968,3.15,3.26295210166178,-0.112952101661779,-2.89550080116325,0.0601742750113741,1.25441608194027,0.4,0.401,0.8
55,16.5265481,3.15,3.1524926686217,-0.00249266862170083,-2.89599397889052,-0.0632444127483474,1.1116951227851,0.4,0.401,0.8
