Sample,Time_s,Gain,OldValue,NewValue,Description
1,0.0001212,Kp,0,0.4,Kp: 0.000 → 0.400
1,0.0001212,Ki,0.396,0.401,Ki: 0.396 → 0.401
1,0.0001212,Kd,0,0.8,Kd: 0.000 → 0.800
106,31.4848833,Kp,0.4,2,Kp: 0.400 → 2.000
205,58.6976989,Ki,0.401,1,Ki: 0.401 → 1.000
305,86.9084026,Kd,0.8,10,Kd: 0.800 → 10.000
