Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
1,0.0001633,3.05,3.78787878787879,-0.737878787878788,-0.000120495606060606,0,0.000120495606060606,0,1,0
2,0.3335665,3.05,3.78787878787879,-0.737878787878788,-0.24613164469697,1.33198844477216e-15,0.24613164469697,0,1,0
3,0.6534435,3.05,3.59237536656892,-0.542375366568915,-0.419625049828935,-0.122236623020643,0.419625049828935,0,1,0
4,0.9707162,3.05,3.50684261974585,-0.456842619745846,-0.564568741270773,-0.152509487183089,0.564568741270773,0,1,0
5,1.2748088,3.05,3.43890518084066,-0.388905180840665,-0.682831928866081,-0.171977763353633,0.682831928866081,0,1,0
6,1.7447058,3.05,3.40420332355816,-0.354203323558163,-0.849271007996091,-0.103805948147813,0.849271007996091,0,1,0
7,2.0197048,3.05,3.341642228739,-0.291642228739003,-0.929472329257088,-0.187399597297744,0.929472329257088,0,1,0
8,2.2979859,3.05,3.29814271749756,-0.248142717497556,-0.998525757639297,-0.179414497549835,0.998525757639297,0,1,0
9,2.5948629,3.05,3.21945259042033,-0.169452590420333,-1.04883233432551,-0.187552947526205,1.04883233432551,0,1,0
10,2.8815411,3.05,3.21260997067449,-0.162609970674487,-1.09544906802053,-0.160153960333778,1.09544906802053,0,1,0
11,3.3517582,3.05,3.2375366568915,-0.187536656891496,-1.18363201096774,-0.067510905098273,1.18363201096774,0,1,0
12,3.6756591,3.05,3.23460410557185,-0.184604105571847,-1.24342544690616,-0.0802169301625208,1.24342544690616,0,1,0
13,3.9075281,3.05,3.20772238514174,-0.15772238514174,-1.27999637862659,-0.112831869658832,1.27999637862659,0,1,0
14,4.2058849,3.05,3.1911045943304,-0.141104594330401,-1.32209589385631,-0.0812896786364753,1.32209589385631,0,1,0
15,4.4569291,3.05,3.18084066471163,-0.130840664711632,-1.35494268385631,-0.085464825064905,1.35494268385631,0,1,0
16,4.8497155,3.05,3.13636363636364,-0.086363636363636,-1.38886514567449,-0.0663458932866477,1.38886514567449,0,1,0
17,5.0180466,3.05,3.10899315738025,-0.0589931573802547,-1.39879552874878,-0.156369841697425,1.39879552874878,0,1,0
18,5.1914782,3.05,3.12609970674487,-0.0760997067448681,-1.41199362264907,-0.101689750281267,1.41199362264907,0,1,0
19,5.372559,3.05,3.16959921798632,-0.119599217986316,-1.43365074472141,-0.0298710334149984,1.43365074472141,0,1,0
20,5.5616476,3.05,3.10606060606061,-0.0560606060606061,-1.44425116623656,-0.0900899307902946,1.44425116623656,0,1,0
21,5.8440531,3.05,3.1217008797654,-0.0717008797653955,-1.46449988903715,-0.0371803253436253,1.46449988903715,0,1,0
22,6.1295033,3.05,3.13587487781036,-0.0858748778103617,-1.48901289008309,-0.0194960209734305,1.48901289008309,0,1,0
23,6.4218568,3.05,3.12121212121212,-0.0712121212121208,-1.50983200296188,-0.025259371919626,1.50983200296188,0,1,0
24,6.7102562,3.05,3.06793743890518,-0.017937438905181,-1.51500514957967,-0.0574296239596579,1.51500514957967,0,1,0
25,7.0261751,3.05,3.08260019550342,-0.0326001955034214,-1.52530416748289,-0.0326589639116392,1.52530416748289,0,1,0
26,7.4481621,3.05,3.04936461388074,0.000635386119256953,-1.52503604280059,-0.0353119491544044,1.52503604280059,0,1,0
27,7.7845073,3.05,3.10215053763441,-0.0521505376344087,-1.54257662581134,-0.00405464992371706,1.54257662581134,0,1,0
28,8.0460942,3.05,3.05865102639296,-0.008651026392962,-1.54483962098729,-0.0374289074869855,1.54483962098729,0,1,0
29,8.3319612,3.05,3.06695992179863,-0.016959921798632,-1.5496879029521,-0.0215867883414021,1.5496879029521,0,1,0
30,8.6489038,3.05,3.05229716520039,-0.00229716520039114,-1.55041597246334,-0.0248288228148632,1.55041597246334,0,1,0
31,9.1037044,3.05,3.07282502443793,-0.0228250244379278,-1.56079680727273,-0.00481502768201727,1.56079680727273,0,1,0
32,9.4500247,3.05,3.10166177908113,-0.051661779081134,-1.57868833010264,0.0115946103812072,1.57868833010264,0,1,0
33,9.7493649,3.05,3.04301075268817,0.00698924731182782,-1.57659616741447,-0.028455403324079,1.57659616741447,0,1,0
34,10.0392033,3.05,3.09090909090909,-0.040909090909091,-1.58845319286901,0.00954114688217894,1.58845319286901,0,1,0
35,10.3382541,3.05,3.06744868035191,-0.0174486803519063,-1.5936712346872,-0.00829213469497492,1.5936712346872,0,1,0
36,10.7508934,3.05,3.09335288367546,-0.0433528836754644,-1.61156033826002,0.00774774737481159,1.61156033826002,0,1,0
37,11.0691675,3.05,3.10508308895406,-0.0550830889540563,-1.62909185882209,0.015407037828004,1.62909185882209,0,1,0
38,11.3648047,3.05,3.04789833822092,0.002101661779081,-1.62847052941838,-0.0254163591994809,1.62847052941838,0,1,0
39,11.6479984,3.05,3.06402737047898,-0.0140273704789835,-1.63244299236559,-0.00983570807800403,1.63244299236559,0,1,0
40,11.9257402,3.05,3.13245356793744,-0.0824535679374385,-1.65534379474096,0.0412502224782423,1.65534379474096,0,1,0
41,12.3863279,3.05,3.06598240469208,-0.0159824046920822,-1.66270509375855,-0.0089639906056225,1.66270509375855,0,1,0
42,12.7189403,3.05,3.0752688172043,-0.0252688172043012,-1.67110981569404,-0.00434644213579686,1.67110981569404,0,1,0
43,13.0184424,3.05,3.04936461388074,0.000635386119256953,-1.67091951621701,-0.021159735123428,1.67091951621701,0,1,0
44,13.3291661,3.05,3.03910068426197,0.0108993157380257,-1.66753284050342,-0.0229229183602097,1.66753284050342,0,1,0
45,13.6417979,3.05,3.05327468230694,-0.00327468230694095,-1.66855661032747,-0.00915887506374025,1.66855661032747,0,1,0
46,14.0600702,3.05,3.03763440860215,0.0123655913978489,-1.66338442597263,-0.0129550515744891,1.66338442597263,0,1,0
47,14.2414521,3.05,3.05913978494624,-0.00913978494623624,-1.66504221753177,-0.000186987268998096,1.66504221753177,0,1,0
48,14.4309758,3.05,3.09921798631476,-0.0492179863147606,-1.67437019240469,0.042150440228866,1.67437019240469,0,1,0
49,14.6013547,3.05,3.08651026392962,-0.0365102639296193,-1.68059077101173,0.0225923599343267,1.68059077101173,0,1,0
50,14.7815304,3.05,3.03910068426197,0.0108993157380253,-1.67862697916911,-0.0355347962367699,1.67862697916911,0,1,0
51,15.1040693,3.05,3.05229716520039,-0.00229716520039158,-1.67936790430597,-0.00769739476810723,1.67936790430597,0,1,0
52,15.3801548,3.05,3.05425219941349,-0.00425219941349031,-1.68054187490714,-0.00577777735693083,1.68054187490714,0,1,0
