Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
1,0.0002092,3.15,3.79667644183773,-0.646676441837732,-0.000135284711632454,0,0.258724825904458,0.4,0.401,0.8
2,0.2750274,3.15,3.59921798631476,-0.449217986314761,-0.12358856311828,-0.143701148994477,0.114285289140753,0.4,0.401,0.8
3,0.5844128,3.15,3.71309872922776,-0.563098729227761,-0.297803088699902,-0.0284990962762795,0.321859253238742,0.4,0.401,0.8
4,0.9076377,3.15,3.58553274682307,-0.43553274682307,-0.438578117238514,-0.100756346190527,0.26947784678945,0.4,0.401,0.8
5,1.2087168,3.15,3.61436950146628,-0.464369501466276,-0.578390068807429,-0.0673783633895466,0.363779527466652,0.4,0.401,0.8
6,1.63115,3.15,3.5347018572825,-0.384701857282503,-0.74090090542522,-0.0761363037843446,0.390072962961039,0.4,0.401,0.8
7,1.9553692,3.15,3.56011730205279,-0.410117302052787,-0.873868809002933,-0.06368195653119,0.463522748006339,0.4,0.401,0.8
8,2.2337077,3.15,3.46676441837732,-0.316764418377321,-0.962036542067449,-0.126421990259612,0.411344828512286,0.4,0.401,0.8
9,2.5400132,3.15,3.52785923753666,-0.377859237536657,-1.07777690475073,-0.0520118700997305,0.541722737739923,0.4,0.401,0.8
10,2.8509948,3.15,3.42130987292278,-0.271309872922776,-1.16214928312806,-0.109508377422467,0.486939109765487,0.4,0.401,0.8
11,3.233278,3.15,3.48484848484849,-0.334848484848485,-1.29015623343109,-0.0380250818091193,0.620871978097964,0.4,0.401,0.8
12,3.5361282,3.15,3.43792766373412,-0.287927663734116,-1.3773551839785,-0.069384944062362,0.611982539019134,0.4,0.401,0.8
13,3.8448171,3.15,3.41935483870968,-0.269354838709678,-1.46050203284946,-0.0664914104585816,0.640210122289641,0.4,0.401,0.8
14,4.0945207,3.15,3.40127077223851,-0.251270772238514,-1.5232452492522,-0.0802429022943977,0.64713533201002,0.4,0.401,0.8
15,4.3617805,3.15,3.36999022482893,-0.219990224828935,-1.58203979274194,-0.0833857645025666,0.655685435219038,0.4,0.401,0.8
16,4.7156952,3.15,3.39393939393939,-0.243939393939394,-1.66837353016618,-0.03684135293886,0.737120460821308,0.4,0.401,0.8
17,4.9760203,3.15,3.33919843597263,-0.18919843597263,-1.7176266319306,-0.0821248073724478,0.698747807895264,0.4,0.401,0.8
18,5.2176901,3.15,3.40322580645161,-0.253225806451613,-1.7788236619306,-0.0177839550393733,0.800371446983317,0.4,0.401,0.8
19,5.4802696,3.15,3.32453567937439,-0.174535679374389,-1.82465315335289,-0.0730304585906518,0.743075819371741,0.4,0.401,0.8
20,5.7835525,3.15,3.341642228739,-0.191642228739004,-1.88277496424731,-0.0393023515941069,0.800207770883489,0.4,0.401,0.8
21,6.1940565,3.15,3.31671554252199,-0.166715542521994,-1.95121236131476,-0.0353738871680339,0.82082326416159,0.4,0.401,0.8
22,6.5391684,3.15,3.33626588465298,-0.186265884652981,-2.01549493467253,-0.0223313925605679,0.864854708616424,0.4,0.401,0.8
23,6.8467779,3.15,3.31573802541544,-0.165738025415445,-2.06647752580157,-0.0333898507701681,0.868240817396471,0.4,0.401,0.8
24,7.1374276,3.15,3.29227761485826,-0.142277614858259,-2.10783047187683,-0.0444139813384491,0.866619880095155,0.4,0.401,0.8
25,7.4065336,3.15,3.34604105571847,-0.196041055718474,-2.16058629621701,0.00158138388063528,0.946076634174919,0.4,0.401,0.8
26,7.7960739,3.15,3.27859237536657,-0.128592375366569,-2.21067820869502,-0.0337559121813973,0.910914182088211,0.4,0.401,0.8
27,8.0919224,3.15,3.31671554252199,-0.166715542521994,-2.26000075187683,-0.00978472797816143,0.965118736128879,0.4,0.401,0.8
28,8.3578506,3.15,3.28983382209189,-0.139833822091887,-2.29718650848485,-0.0289257843365957,0.953964691269903,0.4,0.401,0.8
29,8.6224916,3.15,3.2644183773216,-0.114418377321603,-2.32746630227762,-0.0424606707344366,0.945112801554416,0.4,0.401,0.8
30,8.9144045,3.15,3.25855327468231,-0.108553274682307,-2.35915440349463,-0.0348134255763451,0.961591485213192,0.4,0.401,0.8
31,9.275912,3.15,3.2375366568915,-0.0875366568914955,-2.39079956148583,-0.0341163432938525,0.966432212277333,0.4,0.401,0.8
32,9.5453589,3.15,3.27126099706745,-0.121260997067449,-2.42347296123656,-0.0115858937083749,1.01104834131614,0.4,0.401,0.8
33,9.8184399,3.15,3.2741935483871,-0.124193548387096,-2.45738785962366,-0.00699761701045215,1.02949185745556,0.4,0.401,0.8
34,10.0777178,3.15,3.25562072336266,-0.105620723362659,-2.48477297897361,-0.0202226954381873,1.02246409756293,0.4,0.401,0.8
35,10.3597206,3.15,3.22727272727273,-0.0772727272727267,-2.50656410442815,-0.0349792187255881,1.00805792180431,0.4,0.401,0.8
36,10.7375251,3.15,3.26392961876833,-0.113929618768329,-2.54960722708211,-0.00148227932388968,1.06677852210815,0.4,0.401,0.8
